code,preshead,theta
1204,4.0,0.276
1204,24.0,0.2678
1204,44.0,0.2456
1204,64.0,0.2264
1204,84.0,0.2088
1204,104.0,0.1958
1204,124.0,0.1861
1204,154.0,0.1765
1204,184.0,0.1695
1204,254.0,0.1577
1204,304.0,0.1527
1210,8.0,0.3423
1210,16.0,0.3375
1210,36.0,0.3365
1210,56.0,0.3328
1210,76.0,0.3262
1210,96.0,0.3132
1210,126.0,0.2922
1210,156.0,0.2765
1210,510.0,0.2241
1211,8.0,0.402
1211,16.0,0.3677
1211,20.0,0.4178
1211,36.0,0.3632
1211,47.0,0.4021
1211,56.0,0.3767
1211,76.0,0.3673
1211,96.0,0.3411
1211,106.0,0.3679
1211,126.0,0.3241
1211,141.0,0.3532
1211,156.0,0.3286
1211,510.0,0.2442
1212,7.0,0.4172
1212,15.0,0.4004
1212,18.0,0.4143
1212,35.0,0.402
1212,55.0,0.3926
1212,75.0,0.383
1212,95.0,0.375
1212,125.0,0.3553
1212,155.0,0.3519
1212,510.0,0.2941
1213,8.0,0.4673
1213,16.0,0.4568
1213,36.0,0.4508
1213,56.0,0.4443
1213,81.0,0.4327
1213,96.0,0.4299
1213,126.0,0.421
1213,156.0,0.4143
1213,510.0,0.3874
1220,,
1221,0.0,0.4734
1221,10.0,0.4701
1221,20.0,0.4661
1221,30.0,0.4641
1221,40.0,0.4611
1221,50.0,0.4596
1221,100.0,0.4496
1221,150.0,0.4373
1221,180.0,0.4288
1222,0.0,0.4694
1222,10.0,0.4674
1222,20.0,0.4654
1222,30.0,0.4629
1222,40.0,0.4609
1222,50.0,0.4589
1222,100.0,0.4514
1222,150.0,0.4434
1222,180.0,0.4374
1223,,
1224,0.0,0.4383
1224,10.0,0.4213
1224,20.0,0.4108
1224,30.0,0.4039
1224,40.0,0.397
1224,50.0,0.3919
1224,100.0,0.3699
1224,150.0,0.3529
1224,180.0,0.346
1225,0.0,0.4428
1225,10.0,0.435
1225,20.0,0.4266
1225,30.0,0.4206
1225,40.0,0.416
1225,50.0,0.412
1225,100.0,0.3941
1225,150.0,0.3793
1225,180.0,0.3719
1230,0.0,0.4155
1230,10.0,0.3936
1230,20.0,0.382
1230,40.0,0.3487
1230,60.0,0.3249
1230,100.0,0.2945
1230,150.0,0.2706
1231,0.0,0.3304
1231,10.0,0.3274
1231,20.0,0.3109
