code,theta,conductivity
1391,0.164,0.00415
1391,0.162,0.00588
1391,0.158,0.00695
1391,0.157,0.00604
1391,0.155,0.00325
1391,0.152,0.00593
1391,0.147,0.00373
1391,0.143,0.00366
1392,0.299,1.291
1392,0.294,7.692
1392,0.291,1.153
1392,0.286,4.543
1392,0.285,2.375
1392,0.284,8.163
1392,0.276,3.75
1392,0.275,0.5405
1392,0.269,9.041
1392,0.266,1.468
1392,0.253,0.6013
1392,0.252,0.4059
1392,0.251,1.277
1392,0.249,0.5906
1392,0.246,0.547
1392,0.234,0.4127
1392,0.221,0.09403
1392,0.219,0.108
1392,0.217,0.2082
1392,0.214,0.1378
1392,0.211,0.06652
1392,0.202,0.09343
1392,0.197,0.03554
1392,0.196,0.06107
1392,0.191,0.02411
1392,0.179,0.02294
1392,0.176,0.01514
1392,0.173,0.01408
1392,0.172,0.00965
1392,0.167,0.01395
1392,0.165,0.00658
1392,0.158,0.00647
1392,0.154,0.00465
1392,0.152,0.00421
1392,0.151,0.00447
1392,0.149,0.00512
1392,0.148,0.00409
1392,0.147,0.00281
1392,0.145,0.00303
1392,0.143,0.00392
1392,0.14,0.00201
1392,0.138,0.0027
1392,0.136,0.00222
1400,0.46,0.1075
1400,0.457,0.07139
1400,0.456,0.1204
1400,0.453,0.02623
1400,0.452,0.06154
1400,0.449,0.101
1400,0.445,0.03247
1400,0.441,0.00346
1400,0.44,0.03085
1400,0.439,0.01285
1400,0.438,0.00162
1400,0.435,0.00271
1400,0.431,0.00374
1400,0.43,0.00764
1400,0.426,0.00452
1400,0.424,0.00041
1400,0.421,0.00183
1400,0.42,0.00039
1400,0.418,0.00084
1400,0.417,0.00028
1400,0.416,0.00099
1400,0.414,0.00076
1400,0.411,0.00051
1400,0.405,0.00057
1400,0.401,0.00033
1400,0.4,0.00056
1400,0.394,0.00039
1410,,
1420,,
1430,,
1440,,
1450,,
1460,0.038,0.001
1460,0.054,0.00832
1460,0.066,0.0316
1460,0.075,0.0676
1460,0.092,0.214
1460,0.15,3.2
1460,0.256,141.0
1461,0.023,5e-05
1461,0.027,0.00018
1461,0.031,0.00056
1461,0.034,0.00135
1461,0.041,0.00562
1461,0.056,0.0955
1461,0.16,148.0
1462,0.025,0.00012
1462,0.033,0.00126
1462,0.043,0.00724
1462,0.05,0.0214
1462,0.065,0.0955
1462,0.105,1.15
1462,0.276,363.0
1463,0.041,0.00019
1463,0.05,0.00093
1463,0.058,0.00331
1463,0.065,0.00794
1463,0.083,0.0575
1463,0.186,31.6
1463,0.382,631.0
1464,0.35,165.9
1464,0.267,33.9
1464,0.114,0.158
1464,0.091,0.0436
1464,0.081,0.0209
1464,0.069,0.00708
1464,0.055,0.00178
1465,0.089,0.00489
1465,0.132,0.0219
1465,0.172,0.112
1465,0.195,0.509
1465,0.221,1.99
1465,0.254,7.08
1465,0.298,24.0
1466,0.043,0.00209
1466,0.059,0.0263
1466,0.107,0.631
1466,0.166,4.17
1466,0.295,49.0
1466,0.369,170.0
1466,0.386,204.0
1467,0.119,0.011
1467,0.148,0.0186
1467,0.165,0.0282
1467,0.176,0.038
1467,0.193,0.0616
1480,,
1481,,
1482,,
1490,0.478,3.612
1490,0.472,1.824
1490,0.46,1.388
1490,0.456,0.6462
1490,0.452,1.229
1490,0.45,7.757
1490,0.445,0.5708
1490,0.443,0.7753
1490,0.441,6.378
1490,0.434,0.5575
1490,0.429,0.3823
1490,0.426,0.6794
1490,0.414,1.022
1490,0.411,0.507
1490,0.408,0.15
1490,0.404,0.04421
1490,0.402,0.07118
1490,0.398,0.03178
1490,0.393,0.187
1490,0.391,0.03586
1490,0.382,0.0275
1490,0.373,0.01047
1490,0.372,0.04429
1490,0.371,0.00585
1490,0.37,0.01079
1490,0.362,0.00668
1490,0.361,0.0228
1490,0.354,0.00294
1490,0.353,0.00506
1490,0.351,0.01399
1490,0.35,0.00464
1490,0.343,0.00208
1490,0.342,0.01046
1490,0.338,0.0082
1490,0.335,0.0047
1490,0.332,0.00291
1490,0.321,0.00731
1490,0.317,0.00336
2000,,
2001,,
2002,,
2010,,
2011,,
2012,,
2020,,
2021,,
2022,,
2030,,
2031,,
2032,,
2040,,
2041,,
2050,,
2051,,
2060,,
2061,,
2070,,
2071,,
2080,,
2081,,
2090,,
2091,,
2092,,
2100,,
2101,,
2102,,
2103,,
2104,,
2105,,
2110,,
2111,,
2120,,
2121,,
2122,,
2123,,
2124,,
2125,,
2126,,
2130,,
2131,,
2132,,
2140,,
2141,,
2150,,
2151,,
2160,0.659,2.608
2160,0.64,2.544
2160,0.626,1.468
2160,0.612,0.287
2160,0.594,0.041
2161,0.752,78.76
2161,0.709,6.609
2161,0.686,1.986
2161,0.665,0.55
2161,0.642,0.086
2170,0.428,1.38
2170,0.405,0.24
2170,0.394,0.069
2170,0.386,0.027
2171,0.433,0.26
2171,0.427,0.11
2171,0.422,0.048
2171,0.418,0.025
2180,0.116,0.0876
2180,0.1153,0.0724
2180,0.392,0.38
2180,0.376,0.156
2181,0.594,9.5
2181,0.542,1.81
2181,0.525,0.3
2181,0.506,0.048
2190,,
2191,,
2192,,
2193,,
2194,,
2195,,
2196,,
2197,,
2198,,
2200,,
2201,,
2202,,
2203,,
2210,0.1177,0.0841
2210,0.116,0.0876
2210,0.1153,0.0724
2210,0.0992,0.0084
2210,0.097,0.0083
2210,0.0916,0.0045
2210,0.0897,0.0022
2210,0.081,0.00063
2210,0.0683,1e-05
2211,0.0668,0.00079
2211,0.0779,0.0052
2211,0.0805,0.0074
2211,0.0812,0.0084
2211,0.096,0.107
2211,0.0965,0.083
2211,0.097,0.108
2212,0.0897,0.0094
2212,0.0853,0.00472
2212,0.083,0.00459
2213,0.0796,0.0012
2213,0.0803,0.001
2213,0.0892,0.0048
2213,0.0941,0.0083
2213,0.103,0.0648
2213,0.1065,0.161
2213,0.1068,0.0687
2213,0.108,0.0737
2214,0.116,0.0861
2214,0.1149,0.0808
2214,0.1102,0.0801
2214,0.0968,0.0057
2214,0.0954,0.0059
2214,0.0853,0.00107
2215,0.0932,0.00864
2215,0.0889,0.00529
2215,0.0877,0.0051
2216,0.113,0.1382
2216,0.1075,0.0732
2216,0.0925,0.0091
2216,0.0898,0.009
2216,0.0873,0.0059
2216,0.0847,0.0055
2216,0.0788,0.0012
2216,0.0778,0.0011
2217,0.0955,0.0871
2217,0.0936,0.084
2217,0.0893,0.0778
2217,0.0786,0.0077
2217,0.0757,0.0059
2217,0.063,0.00127
2217,0.063,0.0007
2220,0.328,60.42
2220,0.32,53.25
2220,0.315,51.73
2220,0.313,51.77
2220,0.312,50.2
2220,0.311,50.16
2220,0.303,45.97
2220,0.235,39.06
2220,0.23,28.44
2220,0.177,23.44
2220,0.153,16.61
2220,0.15,9.694
2220,0.145,6.751
2220,0.138,5.33
2220,0.135,4.782
2220,0.133,3.91
2220,0.121,2.158
2220,0.115,1.896
2220,0.103,0.535
2221,0.328,1224.0
2221,0.327,963.4
2221,0.319,666.2
2221,0.288,637.2
2221,0.27,632.8
2221,0.273,645.2
2221,0.251,582.9
2221,0.216,544.2
2221,0.199,527.7
2221,0.189,459.6
2221,0.174,380.6
2221,0.172,355.3
2221,0.158,205.6
2221,0.157,157.9
2221,0.151,148.6
2221,0.144,117.9
2221,0.136,10.08
2221,0.127,8.064
2221,0.12,4.454
2221,0.112,2.678
2221,0.11,2.035
2221,0.105,1.427
2221,0.101,1.105
2221,0.098,0.628
2221,0.096,0.536
2230,,
2231,,
2232,,
2240,,
2241,,
2242,,
2243,,
2250,,
2251,,
2252,,
2253,,
2260,,
2261,,
2262,,
2270,,
2271,,
2272,,
2273,,
2280,,
2281,,
2282,,
2283,,
2290,,
2291,,
2292,,
2293,,
2300,,
2301,,
2302,,
2303,,
2304,,
2305,,
2306,,
2307,,
2310,0.348,1607.0
2310,0.314,1097.0
2310,0.286,667.0
2310,0.25,386.0
2310,0.209,208.0
2310,0.168,94.2
2310,0.137,39.7
2320,,
2321,,
2330,,
2331,,
2332,,
2333,,
2334,,
2340,,
2341,,
2342,,
2350,,
2351,,
2360,,
2361,,
2362,,
2370,,
2371,,
2372,,
2373,,
2374,,
2380,,
2381,,
2382,,
2383,,
2384,,
2385,,
2390,,
2391,,
2392,,
2393,,
2394,,
2395,,
2400,,
2401,,
2402,,
2403,,
2404,,
2405,,
2410,,
2411,,
2412,,
2413,,
2414,,
2415,,
2420,,
2421,,
2422,,
2423,,
2424,,
2425,,
2430,,
2431,,
2432,,
2433,,
2434,,
2435,,
2440,,
2441,,
2442,,
2443,,
2444,,
2445,,
2450,,
2451,,
2452,,
2453,,
