code,particle_size,particle_fraction
2193,2000.0,1.0
2194,2.0,0.03
2194,50.0,0.08
2194,2000.0,1.0
2195,2.0,0.03
2195,50.0,0.08
2195,2000.0,1.0
2196,2.0,0.03
2196,50.0,0.08
2196,2000.0,1.0
2197,2.0,0.03
2197,50.0,0.08
2197,2000.0,1.0
2198,2.0,0.03
2198,50.0,0.08
2198,2000.0,1.0
2200,2.0,0.02
2200,50.0,0.028
2200,100.0,0.054
2200,250.0,0.194
2200,500.0,0.564
2200,1000.0,0.967
2200,2000.0,1.0
2201,2.0,0.02
2201,50.0,0.028
2201,100.0,0.054
2201,250.0,0.194
2201,500.0,0.564
2201,1000.0,0.967
2201,2000.0,1.0
2202,2.0,0.02
2202,50.0,0.028
2202,100.0,0.054
2202,250.0,0.194
2202,500.0,0.564
2202,1000.0,0.967
2202,2000.0,1.0
2203,2.0,0.02
2203,50.0,0.028
2203,100.0,0.054
2203,250.0,0.194
2203,500.0,0.564
2203,1000.0,0.967
2203,2000.0,1.0
2210,2.0,0.038
2210,5.0,0.044
2210,20.0,0.053
2210,53.0,0.075
2210,106.0,0.167
2210,180.0,0.32
2210,250.0,0.49
2210,500.0,0.86
2210,1000.0,0.98
2211,2.0,0.038
