particle_density,texture,porosity,series,conductivity,depth_lower,OM_content,k_sat,theta_sat,pH,location,depth_upper,code,P2,P50,P100,P250,P500,P1000,P2000,rho,suction,theta
2.65,12.0,0.44,33.0,1.656,61.0,0.75,1117.0,0.418,7.3,23.0,30.0,1060,0.02,0.07,0.098,0.34,0.725,0.972,1.0,1.55,10.0,0.3387
2.65,12.0,0.44,33.0,1.656,61.0,0.75,1117.0,0.418,7.3,23.0,30.0,1060,0.02,0.07,0.098,0.34,0.725,0.972,1.0,1.55,20.0,0.2972
2.65,12.0,0.44,33.0,1.656,61.0,0.75,1117.0,0.418,7.3,23.0,30.0,1060,0.02,0.07,0.098,0.34,0.725,0.972,1.0,1.55,30.0,0.1982
2.65,12.0,0.44,33.0,1.656,61.0,0.75,1117.0,0.418,7.3,23.0,30.0,1060,0.02,0.07,0.098,0.34,0.725,0.972,1.0,1.55,40.0,0.1427
2.65,12.0,0.44,33.0,1.656,61.0,0.75,1117.0,0.418,7.3,23.0,30.0,1060,0.02,0.07,0.098,0.34,0.725,0.972,1.0,1.55,50.0,0.1182
2.65,12.0,0.44,33.0,1.656,61.0,0.75,1117.0,0.418,7.3,23.0,30.0,1060,0.02,0.07,0.098,0.34,0.725,0.972,1.0,1.55,60.0,0.1057
2.65,12.0,0.44,33.0,1.656,61.0,0.75,1117.0,0.418,7.3,23.0,30.0,1060,0.02,0.07,0.098,0.34,0.725,0.972,1.0,1.55,100.0,0.0835
2.65,12.0,0.44,33.0,1.656,61.0,0.75,1117.0,0.418,7.3,23.0,30.0,1060,0.02,0.07,0.098,0.34,0.725,0.972,1.0,1.55,140.0,0.0767
2.65,12.0,0.44,33.0,1.656,61.0,0.75,1117.0,0.418,7.3,23.0,30.0,1060,0.02,0.07,0.098,0.34,0.725,0.972,1.0,1.55,180.0,0.0707
2.65,12.0,0.44,33.0,1.656,61.0,0.75,1117.0,0.418,7.3,23.0,30.0,1060,0.02,0.07,0.098,0.34,0.725,0.972,1.0,1.55,240.0,0.0655
2.65,12.0,0.44,33.0,1.656,61.0,0.75,1117.0,0.418,7.3,23.0,30.0,1060,0.02,0.07,0.098,0.34,0.725,0.972,1.0,1.55,320.0,0.0622
2.65,12.0,0.44,33.0,1.656,61.0,0.75,1117.0,0.418,7.3,23.0,30.0,1060,0.02,0.07,0.098,0.34,0.725,0.972,1.0,1.55,400.0,0.059
2.65,12.0,0.44,33.0,1.656,61.0,0.75,1117.0,0.418,7.3,23.0,30.0,1061,0.04,0.09,0.11533333333333334,0.34,0.706,0.962,1.0,1.59,0.0,0.3505
2.65,12.0,0.44,33.0,1.656,61.0,0.75,2784.0,0.418,7.3,23.0,30.0,1061,0.04,0.09,0.11533333333333334,0.34,0.706,0.962,1.0,1.59,4.0,0.3264
2.65,12.0,0.44,33.0,1.656,61.0,0.75,2784.0,0.418,7.3,23.0,30.0,1061,0.04,0.09,0.11533333333333334,0.34,0.706,0.962,1.0,1.59,10.0,0.3194
2.65,12.0,0.44,33.0,1.656,61.0,0.75,2784.0,0.418,7.3,23.0,30.0,1061,0.04,0.09,0.11533333333333334,0.34,0.706,0.962,1.0,1.59,20.0,0.2599
2.65,12.0,0.44,33.0,1.656,61.0,0.75,2784.0,0.418,7.3,23.0,30.0,1061,0.04,0.09,0.11533333333333334,0.34,0.706,0.962,1.0,1.59,30.0,0.1469
2.65,12.0,0.44,33.0,1.656,61.0,0.75,2784.0,0.418,7.3,23.0,30.0,1061,0.04,0.09,0.11533333333333334,0.34,0.706,0.962,1.0,1.59,40.0,0.1082
2.65,12.0,0.44,33.0,1.656,61.0,0.75,2784.0,0.418,7.3,23.0,30.0,1061,0.04,0.09,0.11533333333333334,0.34,0.706,0.962,1.0,1.59,50.0,0.0899
2.65,12.0,0.44,33.0,1.656,61.0,0.75,2784.0,0.418,7.3,23.0,30.0,1061,0.04,0.09,0.11533333333333334,0.34,0.706,0.962,1.0,1.59,60.0,0.0807
2.65,12.0,0.44,33.0,1.656,61.0,0.75,2784.0,0.418,7.3,23.0,30.0,1061,0.04,0.09,0.11533333333333334,0.34,0.706,0.962,1.0,1.59,100.0,0.0627
2.65,12.0,0.44,33.0,1.656,61.0,0.75,2784.0,0.418,7.3,23.0,30.0,1061,0.04,0.09,0.11533333333333334,0.34,0.706,0.962,1.0,1.59,140.0,0.0585
2.65,12.0,0.44,33.0,1.656,61.0,0.75,2784.0,0.418,7.3,23.0,30.0,1061,0.04,0.09,0.11533333333333334,0.34,0.706,0.962,1.0,1.59,180.0,0.0535
